CID,NDVI,LST
3,0.264811,44.9070015
3,0.241691,47.0038986
3,0.282372,43.6748009
3,0.305054,46.7066002
3,0.267452,43.5550995
3,0.238294,44.0985985
3,0.231517,46.3614006
3,0.276377,47.1884995
3,0.254764,43.6302986
3,0.267844,44.6831017
3,0.262794,48.6959
3,0.283101,47.277401
3,0.283855,44.2302017
3,0.238154,42.3623009
3,0.288424,44.2215996
3,0.239266,39.0297012
3,0.23205,41.5932007
3,0.17995,-9999
3,0.273708,43.4048004
3,0.20966,43.6764984
3,0.280078,46.0264015
3,0.247178,45.7803001
3,0.267145,49.7144012
3,0.289019,45.7392998
4,0.302835,44.5054016
4,0.178614,52.6813011
4,0.160891,48.6651001
4,0.20916,52.8452988
0,0.173775,41.5625
0,-0.0014551,40.9642982
0,0.0481707,41.3334999
0,0.188382,37.2700005
0,0.156144,40.482399
0,0.0826268,41.3403015
0,0.0845292,41.6615982
0,0.0049814,37.8778
0,0.0860326,42.331501
0,0.244578,39.7952995
0,0.195787,41.9248009
0,0.145846,39.4090996
0,-0.0681041,36.8558006
0,0.0975371,40.7010994
1,0.31076,48.0259018
1,0.300734,44.0267982
1,0.261321,52.0112991
1,0.241105,47.4346008
1,0.202472,50.0937996
1,0.26351,47.3764992
1,0.314087,43.5858994
1,0.298486,45.3428001
1,0.260298,43.4696999
1,0.254686,45.8349991
1,0.173275,46.7373009
1,0.133772,49.5127983
1,0.232773,45.2230988
1,0.252177,49.6529007
1,0.24604,46.1836014
1,0.206587,50.0117989
1,0.133531,49.9742012
1,0.32847,44.6763
1,0.227145,44.7650986
1,0.347773,41.1283989
1,0.235118,48.0121994
1,0.219235,49.2631989
1,0.103448,50.2750015
1,0.322639,45.5410004
1,0.208693,46.7304993
1,0.293115,47.7764015
1,0.189149,49.4785995
1,0.244619,48.2481003
1,0.0673091,43.821701
1,0.240329,48.9249001
1,0.162446,43.1108017
1,0.220827,49.3487015
1,0.351388,42.8921013
2,0.264277,43.9105988
2,0.393709,41.3470993
2,0.27053,47.1851006
2,0.320862,45.8897018
2,0.2535,47.6601982
3,0.259573,46.3306007
3,0.295611,40.581501
3,0.240057,41.6683998
3,0.334094,40.5063019
3,0.298625,42.5570984
3,0.245303,45.6846008
3,0.258711,45.9614983
3,0.228508,45.4043007
3,0.303089,40.8582993
3,0.295399,41.3163986
3,0.314159,40.0481987
3,0.247102,44.6968002
3,0.279491,46.8125
3,0.219512,46.2416992
3,0.294855,44.8266983
3,0.281484,46.1493988
3,0.24649,45.9682999
3,0.334887,40.321701
4,0.266718,51.6627007
4,0.258129,46.7271004
4,0.267949,46.4091988
4,0.365787,45.605999
4,0.177926,50.729599
4,0.194016,49.8067017
4,0.204803,52.1787987
4,0.238179,49.3726006
4,0.300438,46.0708008
4,0.270646,45.4692993
4,0.201222,51.3106003
4,0.3755,42.1264
4,0.249388,46.5561981
4,0.261709,46.6484985
4,0.37852,43.3193016
4,0.335003,43.8935013
4,0.253404,49.2939987
4,0.233244,48.0942993
4,0.273625,45.4384995
4,0.285994,47.8652992
4,0.311514,44.3515015
4,0.231933,48.4702988
4,0.273064,46.6040001
4,0.29657,45.9511986
4,0.21692,47.533699
4,0.249273,48.9692993
4,0.405272,39.9422989
4,0.249223,45.9272995
4,0.299941,43.9140015
4,0.275072,44.5565987
4,0.170147,49.7417984
4,0.327154,42.3008003
4,0.291497,43.1175995
4,0.326768,43.0560989
